SiteID,SiteId_DC,FieldDate,FieldTime,co2ppm,ch4ppm,wt.x,ph,ch4c_µgl,hco3_moll,dic_mgl,pco2_µatm,co2c_mgl,Timestamp,Date,date,month_day,wt.y,wt_filled,,SampleID
59,DC2,2021-04-08,1899-12-31 11:38:00,1500.924795,NA,NA,4.69,NA,1.28980837270794e-08,3.152032483,NA,NA,2021-04-08 11:38,2021-04-08,2021-04-08,08-Apr,NA,2,,DC2 2021-04-08
59,DC2,2024-08-13,1899-12-31 10:06:00,1594,NA,NA,4.51,NA,1.36979184635534e-08,3.347496021,NA,NA,2024-08-13 10:06,2024-08-13,2024-08-13,13-Aug,13.62979167,13.62979167,,DC2 2024-08-13
59,DC2,2021-04-20,1899-12-31 15:58:00,1253.591995,NA,NA,4.56,NA,1.07726480095683e-08,2.632618703,NA,NA,2021-04-20 15:58,2021-04-20,2021-04-20,20-Apr,NA,2,,DC2 2021-04-20
59,DC2,2022-01-12,1899-12-31 10:53:00,882,NA,NA,4.51,NA,7.57940030417445e-09,1.852253131,NA,NA,2022-01-12 10:53,2022-01-12,2022-01-12,12-Jan,NA,2,,DC2 2022-01-12
59,DC2,2020-11-18,1899-12-31 13:42:00,1319.132092,NA,NA,4.45,NA,1.13358618835861e-08,2.770256857,NA,NA,2020-11-18 13:42,2020-11-18,2020-11-18,18-Nov,NA,2,,DC2 2020-11-18
59,DC2,2021-07-19,1899-12-31 10:38:00,1088.402845,NA,NA,4.53,NA,9.35310754260101e-09,2.285711538,NA,NA,2021-07-19 10:38,2021-07-19,2021-07-19,19-Jul,13.2303125,13.2303125,,DC2 2021-07-19
59,DC2,2022-04-21,1899-12-31 12:55:00,1672,NA,NA,4.74,NA,1.43682055652831e-08,3.511300719,NA,NA,2022-04-21 12:55,2022-04-21,2022-04-21,21-Apr,NA,2,,DC2 2022-04-21
59,DC2,2020-12-15,NA,1258.117864,NA,NA,4.62,NA,1.08115407249895e-08,2.642123301,NA,NA,2020-12-15,2020-12-15,2020-12-15,15-Dec,NA,2,,DC2 2020-12-15
59,DC2,2020-05-14,NA,952.151704,NA,NA,4.64,NA,8.18224366771275e-09,1.999575935,NA,NA,2020-05-14,2020-05-14,2020-05-14,14-May,7.636947917,7.636947917,,DC2 2020-05-14
59,DC2,2021-03-31,1899-12-31 10:29:00,1585.787101,NA,NA,4.66,NA,1.36273415390971e-08,3.330248439,NA,NA,2021-03-31 10:29,2021-03-31,2021-03-31,31-Mar,NA,2,,DC2 2021-03-31
59,DC2,2019-04-21,1899-12-31 15:54:00,1069.511274,0.491072867,NA,4.52,1.041106644,9.19076426138367e-09,2.246038102,NA,NA,2019-04-21 15:54,2019-04-21,2019-04-21,21-Apr,NA,2,,DC2 2019-04-21
59,DC2,2022-05-16,1899-12-31 13:50:00,847,NA,NA,4.8,NA,7.2786304508342e-09,1.778751022,NA,NA,2022-05-16 13:50,2022-05-16,2022-05-16,16-May,8.536229167,8.536229167,,DC2 2022-05-16
