"","TimeStamp","TA","TA_MAX","TA_MIN","TS_-0.1m","TS_-0.2m","P","SW_CUM","VP","PPFD_CUM","NETRAD_CUM","WS","WS_MAX","Station Name","Date","Q","q_int_mmd","Site_id","Treatment","Site_id_chem","pH","EC_uScm","DOC_mgL","NO2_NO3_ugL","DN_mgL","NH4_ugL","PO4_ugL","SO4_ugL","Mn_ugL","Na_ugL","Cl_ugL","Ca_ugL","P_ugL","Si_ugL","Mg_ugL","K_ugL","Fe_ugL","Hg_ugL","d18O","d2H","DIC_mgL","pCO2_uatm","CH4_ugL","CO2_mgL","dexcess","pH_MW","WT_MW","DIC_mgL_MW","CO2_mgL_MW","CH4_ugL_MW","Date_MW","row_id","CO2_mgL_filled","DIC_mgL_filled","pH_filled","EC_uScm_filled","DOC_mgL_filled","NO2_NO3_ugL_filled","DN_mgL_filled","NH4_ugL_filled","PO4_ugL_filled","SO4_ugL_filled","Mn_ugL_filled","Na_ugL_filled","Cl_ugL_filled","Ca_ugL_filled","P_ugL_filled","Si_ugL_filled","Mg_ugL_filled","K_ugL_filled","Fe_ugL_filled","Hg_ugL_filled","d18O_filled","d2H_filled","dexcess_filled","n","Site_ID_14C","Publication Code_DOC","Sample_id_DOC","DOY","Year","Site_id_C14","Treatment_C14","Material_Type_DOC","DOC_14C_Modern","DOC_14C_Modern_error","Radio_Age_DOC","Radio_Age_uncertainty_DOC","DOCmgL_14C_DOC","d13C_DOC","Date_CO2","Publication Code_CO2","Sample_id_CO2","Material_Type_CO2","CO2_14C_Modern","CO2_14C_Modern_error","Radio_Age_CO2","Radio_Age_uncertainty_CO2","CO2_vol_ml_or_DOCmgL_CO2","d13C_CO2","DOY_CO2"
"11",2020-03-12,-0.6,2.1,-3,NA,0.8,0,5.9,6.3,NA,NA,1.9,9.5,"HYG",2020-03-12,1.0671745625841,1.0671745625841,"DC3","PreDisturbance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.352637985478,1.43198786739115,5.33714285714286,31.6085714285714,11.3028571428571,46.15,0.282566666666667,6.51857142857143,1.89285714285714,2708.60428571429,11.2530925162677,2047.04026805218,836.250285714286,2116.64461666623,22.2362386949561,5788.77220985898,734.102157345679,389.478170541578,386.985813402236,0.00268562879846406,-13.1074824798099,-95.3515121279748,9.50834771050471,70,"DC3","SUERC-95053","DC3-DOC-200312",72,2020,"DC3","Pre-cleaned","DOC",98.0036,0.4469,162,37,7.79,-29.209,2020-03-13,"SUERC-93725","DC3-X263-200312","CO2",101.0574,0.4631,NA,NA,5.87,-21.168,73
"12",2020-04-27,0.7,3.6,-2.8,NA,0.5,0,11.3,4.6,26,NA,2.3,6.5,"HYG",2020-04-27,8.18496458995686,8.18496458995686,"DC3","PreDisturbance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3579167631815,1.38817193139945,4.92,30,17.5233333333334,30.635,0.387425,9.4,1.5375,1525.8875,16.70453745533,1312.99497976465,603.66975,1546.96630777664,21.288205644501,4006.72109197487,559.103210015055,416.339951151177,443.980649025739,0.00483084307019617,-13.8479233840892,-101.566654997981,9.2167320747326,71,"DC3","SUERC-97980","DC3-DOC-200427",118,2020,"DC3","Pre-cleaned","DOC",105.7558,0.4845,NA,NA,13.3,-28.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-08-27,7.8,16.3,1.3,NA,10.7,0,15.7,9,35.5,6.8,2,6.7,"HYG",2020-08-27,0.339948158492044,0.339948158492044,"DC3","PostHarvest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53192368643892,2.65659083051172,5.15857142857143,32.1428571428571,37.5192857142857,7.37785714285714,0.696057142857143,8.28857142857143,5.16571428571428,622.3214,70.1913599718238,2225.57665150013,664.9696,2077.48114499511,66.087112802229,6213.9428945581,677.657696576462,875.955675105233,1614.70098269361,0.0056331959525731,-12.8333651894605,-93.4400244798166,9.22689703586725,72,"DC3","SUERC-97979","DC3-DOC-200827",240,2020,"DC3","Pre-cleaned","DOC",104.6028,0.4558,NA,NA,23.8,-27.766,2020-08-27,"SUERC-95189","DC3-X316-200827","CO2",105.3166,0.4837,NA,NA,6.09,-22.38,240
"14",2020-10-20,-4.4,0,-7.8,NA,4.8,0,3.9,4.7,NA,-1.8,1.7,5.4,"HYG",2020-10-20,2.16946123071916,2.16946123071916,"DC3","PostHarvest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60572985758965,1.63853264933939,4.84142857142857,36.9285714285714,28.8714285714286,33.3657142857143,0.58,16.4928571428571,4.11071428571429,834.838082352941,27.4525588716386,1864.25920629678,1020.28197647059,2022.66726382853,37.3056767936261,5688.77158831961,720.295531770227,1109.53360905379,1034.84636935395,0.00680946924787435,-12.9474195440329,-94.1476967698322,9.43165958243136,73,"DC3","SUERC-100406","DC3-DOC-201020",294,2020,"DC3","Pre-cleaned","DOC",104.6569,0.4914,NA,NA,17.66,-28.738,2020-10-20,"SUERC-100385","DC3-X258-201020","CO2",102.9896,0.4864,NA,NA,3.67,-21.223,294
"15",2021-04-30,1.8,6.1,-2.7,NA,0.8,0,18.1,3.7,39.7,3.2,3.8,11.5,"HYG",2021-04-30,7.87394685935212,7.87394685935212,"DC3","PostHarvest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50333812151351,1.53626718387721,4.852,29.124,24.56,63.952,0.742,42.724,2.978,897.598799999998,15.039152750399,1121.7792338164,770.3736,1316.49684491859,25.7790054886183,2397.85885813703,412.355866396641,839.054205924188,552.093715706097,0.00775214659676003,-14.6415692506799,-106.816204436227,10.3163495692117,74,"DC3","SUERC-102776","DC3-DOC-210430",120,2021,"DC3","Pre-cleaned","DOC",107.9605,0.4949,NA,NA,19,-28.298,2021-04-30,"SUERC-100394","DC3-X409-210430","CO2",103.5562,0.488,NA,NA,4.45,-21.781,120
"16",2021-08-20,12.8,18.5,8.9,NA,12.9,0.2,9.9,12.9,23.3,4,3,8.7,"HYG",2021-08-20,4.66780840563598,4.66780840563598,"DC3","PostHarvest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37320561769202,2.39813250317699,4.44285714285714,53.1028571428571,74.5428571428571,416.948571428571,2.22285714285714,361.518571428571,10.3228571428571,719.106142857142,56.5803229123422,1255.85374286314,1300.06142857143,2534.14532328526,46.262993053626,2303.02526668034,378.93277224776,1795.39334902996,2144.31341363178,0.0199105003314888,-11.868327887413,-85.438644975773,9.50797812353068,75,"DC3","SUERC-102376","DC3-DOC-210820",232,2021,"DC3","Pre-cleaned","DOC",107.2373,0.4917,NA,NA,34.59,-28.486,2021-08-20,"SUERC-102366","DC3-X403-210820","CO2",103.4916,0.4758,NA,NA,4.32,-21.178,232
"17",2021-09-24,5.9,6.3,5.2,NA,7.9,10.1,1.2,9.3,3.4,0.3,2.3,5.9,"HYG",2021-09-24,13.8256618629167,13.8256618629167,"DC3","PostDrainage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68720038990098,1.7302435959761,4.89034482758621,34.1858620689655,40.1551724137931,101.585517241379,1.11620689655172,175.28275862069,5.60655172413793,842.152517241379,26.8327896096343,1360.37805146804,1324.06103448276,1698.64371790253,26.7288892136114,2925.31522703686,309.49882206264,1102.29472241126,1547.22982592861,0.00798827584773922,-12.5468881050619,-90.2692128222208,10.1058920182745,76,"DC3","SUERC-103877","DC3-DOC-210924",267,2021,"DC3","Post-cleaned","DOC",107.705,0.5214,NA,NA,53.26,-28.413,2021-09-24,"SUERC-102387","DC3-X85-210924","CO2",102.7906,0.448,NA,NA,5.06,-23.156,267
"18",2021-09-28,7.8,10.2,4.4,NA,7.6,0,3.2,9.5,7.9,0.8,3.5,9.1,"HYG",2021-09-28,3.53067763340898,3.53067763340898,"DC3","PostDrainage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59411154021636,1.63546947811055,4.90137931034483,34.0934482758621,39.5206896551724,103.642068965517,1.1148275862069,189.851034482759,5.73620689655172,875.289068965517,26.1951122150609,1346.51306220271,1296.53413793103,1675.7315718521,26.7239873937404,2897.0570136451,310.518549069692,1076.59554247801,1459.07640682794,0.00767973588193073,-12.5051033716582,-89.810790860133,10.2300361131325,78,"DC3","SUERC-103888","DC3-DOC-210928",271,2021,"DC3","Post-cleaned","DOC",106.3029,0.5363,NA,NA,34.63,-28.306,2021-09-28,"SUERC-102394","DC3-X312-210928","CO2",102.4341,0.4702,NA,NA,5.34,-22.135,271
"19",2021-10-25,0.2,2.1,-0.9,NA,4,0.8,2.1,6.2,NA,NA,0.9,3.4,"HYG",2021-10-25,6.25050440331745,6.25050440331745,"DC3","PostDrainage","DC3",4.92,32.05,36.6,136.57,1.23,353.28,8.14,899.665,23.7048355228012,1045.05691177027,1085.89,1475.76228749942,23.2535297373324,2639.83305368645,271.787392723307,958.036105107639,1031.09928287112,0.00796830530137103,-12.9383464120485,-92.3308793320721,1.16668765833873,1344.58857685684,1.77762961799864,1.13965152231165,11.1758919643159,4.92,4.73155771546695,1.16668765833873,1.13797314498156,1.77762961799864,2021-10-25,283,1.13797314498156,1.16668765833873,4.92,32.05,36.6,136.57,1.23,353.28,8.14,899.665,23.7048355228012,1045.05691177027,1085.89,1475.76228749942,23.2535297373324,2639.83305368645,271.787392723307,958.036105107639,1031.09928287112,0.00796830530137103,-12.9383464120485,-92.3308793320721,11.1758919643159,80,"DC3","SUERC-106756","DC3-DOC-211025",298,2021,"DC3","Post-cleaned","DOC",106.9909,0.4926,NA,NA,27.44,-28.51,2021-10-25,"SUERC-102403","DC3-X286-211025","CO2",109.5768,0.5051,NA,NA,3.49,-20.619,298
"20",2022-05-03,1.7,8,-6.9,FALSE,-0.5,0,NA,3.3,NA,NA,2.8,11.2,"HED",2022-05-03,5.21446593098341,5.21446593098341,"DC3","PostDrainage","DC3",5.2,27.17,17.9,347.51,1.1,393.16,5.54,1102.78,22,1400,796.431,1400,20,4600,510,1600,670,0.004,NA,NA,1.21173475779245,1432.38049124052,NA,1.21159938926173,NA,5.2,2.50148423416696,1.21172294667713,1.15929992138338,NA,2022-05-03,295,1.15929992138338,1.21172294667713,5.2,27.17,17.9,347.51,1.1,393.16,5.54,1102.78,22,1400,796.431,1400,20,4600,510,1600,670,0.004,-14.3486140843702,-103.970166166783,10.8187465081784,81,"DC3","SUERC-105223","DC3-DOC-220503",123,2022,"DC3","Post-cleaned","DOC",105.9709,0.5039,NA,NA,14.17,-28.176,2022-05-03,"SUERC-105213","DC3-X286-220503","CO2",105.3772,0.4787,NA,NA,2.58,-19.883,123
