"","Date","Q","q_int_mmd"
"1",2020-03-11,0.215190583319413,0.215190583319413
"2",2020-04-27,2.01483912267405,2.01483912267405
"3",2020-08-28,0,0
"4",2020-10-21,0.705102278582596,0.705102278582596
"5",2021-04-29,1.42652935508005,1.42652935508005
"6",2021-08-19,1.50187150171214,1.50187150171214
"7",2021-09-25,3.4877404926157,3.4877404926157
"8",2021-10-24,1.78938178475071,1.78938178475071
"9",2022-05-03,2.33961546346107,2.33961546346107
"10",2022-08-23,0.205866543122206,0.205866543122206
"11",2022-10-24,0.261206499196131,0.261206499196131
